"tick","Dead","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,0,0,996,0
2.0,0,13,0,0,991,0
3.0,0,16,0,0,988,0
4.0,0,17,0,0,985,0
5.0,0,19,0,1,981,0
6.0,0,21,0,1,977,0
7.0,0,23,0,1,970,0
8.0,0,25,0,1,966,0
9.0,0,29,0,3,956,0
10.0,0,32,0,3,947,0
11.0,0,34,0,4,941,0
12.0,0,38,0,7,931,0
13.0,0,43,0,8,922,0
14.0,0,48,0,8,910,0
15.0,0,48,0,10,906,0
16.0,0,50,0,12,895,0
17.0,0,53,0,12,886,0
18.0,0,57,0,13,876,0
19.0,0,60,0,13,867,0
20.0,0,61,0,18,857,0
21.0,0,58,0,35,840,0
22.0,0,58,0,38,827,0
23.0,0,58,0,48,816,0
24.0,0,63,0,50,803,0
25.0,0,70,0,56,787,0
26.0,0,69,0,62,772,0
27.0,0,73,0,67,763,0
28.0,1,75,0,71,755,0
29.0,1,78,0,75,740,0
30.0,1,79,0,86,724,0
31.0,1,78,0,95,711,0
32.0,1,80,0,102,700,0
33.0,1,80,0,112,690,0
34.0,1,81,0,123,673,0
35.0,1,80,0,135,659,0
36.0,1,80,0,140,648,0
37.0,1,80,0,149,636,0
38.0,1,80,0,161,626,0
39.0,1,79,0,168,611,0
40.0,1,78,0,178,604,0
41.0,2,77,0,189,590,0
42.0,2,77,0,203,583,0
43.0,2,80,0,215,570,0
44.0,2,81,0,223,558,0
45.0,2,82,0,235,544,0
46.0,2,81,0,248,526,0
47.0,2,81,0,265,517,0
48.0,2,78,0,275,510,0
49.0,2,78,0,283,496,0
50.0,2,77,0,297,481,0
51.0,2,72,0,314,472,0
52.0,2,70,0,326,467,0
53.0,2,70,0,335,459,0
54.0,2,68,0,347,450,0
55.0,2,62,0,365,441,0
56.0,2,58,0,381,430,0
57.0,3,61,0,388,417,0
58.0,3,61,0,397,409,0
59.0,3,61,0,406,402,0
60.0,3,59,0,420,394,0
61.0,3,61,0,429,378,0
62.0,3,63,0,444,364,0
63.0,3,60,0,453,350,0
64.0,3,57,0,467,340,0
65.0,3,54,0,478,334,0
66.0,3,49,0,492,328,0
67.0,3,44,0,508,318,0
68.0,3,42,0,517,311,0
69.0,3,40,0,523,306,0
70.0,3,39,0,536,297,0
71.0,3,37,0,549,289,0
72.0,3,35,0,557,282,0
73.0,3,36,0,562,276,0
74.0,3,32,0,572,267,0
75.0,3,34,0,579,259,0
76.0,3,36,0,590,252,0
77.0,3,34,0,599,248,0
78.0,3,30,0,613,241,0
79.0,3,29,0,623,231,0
80.0,3,27,0,632,228,0
81.0,3,26,0,640,223,0
82.0,4,21,0,657,216,0
83.0,4,17,0,668,208,0
84.0,4,17,0,678,205,0
85.0,4,16,0,689,202,0
86.0,4,16,0,694,200,0
87.0,4,16,0,699,194,0
88.0,4,18,0,710,189,0
89.0,4,18,0,715,187,0
90.0,4,18,0,722,186,0
91.0,4,16,0,730,186,0
92.0,4,15,0,738,184,0
93.0,4,14,0,745,181,0
94.0,4,12,0,751,180,0
95.0,4,11,0,761,178,0
96.0,4,7,0,769,176,0
97.0,4,4,0,777,175,0
98.0,4,4,0,781,169,0
99.0,4,4,0,785,168,0
100.0,4,3,0,792,167,0
101.0,4,3,0,795,166,0
102.0,4,3,0,800,166,0
103.0,4,3,0,805,166,0
104.0,4,3,0,813,164,0
105.0,4,2,0,817,162,0
106.0,4,2,0,820,162,0
107.0,4,2,0,822,160,0
108.0,4,2,0,825,158,0
109.0,4,0,0,829,158,0
110.0,4,0,0,830,156,0
111.0,5,0,0,831,154,0
112.0,5,0,0,831,154,0
113.0,5,0,0,833,153,0
114.0,5,0,0,836,150,0
115.0,5,0,0,837,149,0
116.0,5,0,0,839,149,0
117.0,5,0,0,841,148,0
118.0,5,0,0,842,148,0
119.0,5,0,0,847,147,0
120.0,5,0,0,847,145,0
121.0,5,0,0,848,145,0
122.0,5,0,0,849,145,0
123.0,5,0,0,849,145,0
124.0,5,0,0,849,144,0
125.0,5,0,0,851,143,0
126.0,6,0,0,853,143,0
127.0,6,0,0,853,143,0
128.0,6,0,0,855,142,0
129.0,6,0,0,856,141,0
130.0,6,0,0,857,141,0
131.0,6,0,0,858,140,0
132.0,6,0,0,860,140,0
133.0,6,0,0,860,140,0
134.0,6,0,0,862,140,0
135.0,7,0,0,865,140,0
136.0,7,0,0,865,140,0
137.0,7,0,0,865,140,0
138.0,7,0,0,866,140,0
139.0,7,0,0,866,139,0
140.0,7,0,0,867,139,0
141.0,7,0,0,869,139,0
142.0,7,0,0,869,137,0
143.0,7,0,0,869,137,0
144.0,7,0,0,869,137,0
145.0,7,0,0,870,137,0
146.0,7,0,0,871,137,0
147.0,7,0,0,871,137,0
148.0,7,0,0,871,136,0
149.0,7,0,0,872,136,0
150.0,7,0,0,872,136,0
151.0,7,0,0,873,136,0
152.0,7,0,0,874,136,0
153.0,7,0,0,874,136,0
154.0,7,0,0,874,136,0
155.0,7,0,0,874,136,0
156.0,7,0,0,875,136,0
157.0,7,0,0,875,136,0
158.0,7,0,0,875,136,0
159.0,7,0,0,875,136,0
160.0,7,0,0,876,136,0
161.0,7,0,0,876,136,0
162.0,7,0,0,876,136,0
163.0,7,0,0,877,136,0
164.0,7,0,0,877,136,0
